items,size,support_count,support
archived_files:3-5,1,63,1.0
deliverables:present,1,63,1.0
status:success,1,63,1.0
timeout:false,1,63,1.0
token_total:>=10k,1,63,1.0
tokens:available,1,63,1.0
archived_files:3-5 | deliverables:present,2,63,1.0
archived_files:3-5 | status:success,2,63,1.0
archived_files:3-5 | timeout:false,2,63,1.0
archived_files:3-5 | token_total:>=10k,2,63,1.0
archived_files:3-5 | tokens:available,2,63,1.0
deliverables:present | status:success,2,63,1.0
deliverables:present | timeout:false,2,63,1.0
deliverables:present | token_total:>=10k,2,63,1.0
deliverables:present | tokens:available,2,63,1.0
status:success | timeout:false,2,63,1.0
status:success | token_total:>=10k,2,63,1.0
status:success | tokens:available,2,63,1.0
timeout:false | token_total:>=10k,2,63,1.0
timeout:false | tokens:available,2,63,1.0
token_total:>=10k | tokens:available,2,63,1.0
archived_files:3-5 | deliverables:present | status:success,3,63,1.0
archived_files:3-5 | deliverables:present | timeout:false,3,63,1.0
archived_files:3-5 | deliverables:present | token_total:>=10k,3,63,1.0
archived_files:3-5 | deliverables:present | tokens:available,3,63,1.0
archived_files:3-5 | status:success | timeout:false,3,63,1.0
archived_files:3-5 | status:success | token_total:>=10k,3,63,1.0
archived_files:3-5 | status:success | tokens:available,3,63,1.0
archived_files:3-5 | timeout:false | token_total:>=10k,3,63,1.0
archived_files:3-5 | timeout:false | tokens:available,3,63,1.0
archived_files:3-5 | token_total:>=10k | tokens:available,3,63,1.0
deliverables:present | status:success | timeout:false,3,63,1.0
deliverables:present | status:success | token_total:>=10k,3,63,1.0
deliverables:present | status:success | tokens:available,3,63,1.0
deliverables:present | timeout:false | token_total:>=10k,3,63,1.0
deliverables:present | timeout:false | tokens:available,3,63,1.0
deliverables:present | token_total:>=10k | tokens:available,3,63,1.0
status:success | timeout:false | token_total:>=10k,3,63,1.0
status:success | timeout:false | tokens:available,3,63,1.0
status:success | token_total:>=10k | tokens:available,3,63,1.0
timeout:false | token_total:>=10k | tokens:available,3,63,1.0
elapsed:1-5m,1,50,0.7936507936507936
archived_files:3-5 | elapsed:1-5m,2,50,0.7936507936507936
deliverables:present | elapsed:1-5m,2,50,0.7936507936507936
elapsed:1-5m | status:success,2,50,0.7936507936507936
elapsed:1-5m | timeout:false,2,50,0.7936507936507936
elapsed:1-5m | token_total:>=10k,2,50,0.7936507936507936
elapsed:1-5m | tokens:available,2,50,0.7936507936507936
archived_files:3-5 | deliverables:present | elapsed:1-5m,3,50,0.7936507936507936
archived_files:3-5 | elapsed:1-5m | status:success,3,50,0.7936507936507936
