antecedent,consequent,support_count,support,confidence,lift
track:long_context,task:clinic_rollout_plan,9,0.14285714285714285,1.0,7.0
task:clinic_rollout_plan,track:long_context,9,0.14285714285714285,1.0,7.0
task:community_workshop_replan,track:replanning,9,0.14285714285714285,1.0,7.0
track:replanning,task:community_workshop_replan,9,0.14285714285714285,1.0,7.0
task:grant_closeout_recovery,track:recovery,9,0.14285714285714285,1.0,7.0
track:recovery,task:grant_closeout_recovery,9,0.14285714285714285,1.0,7.0
task:shelter_restock_scope,track:distractor_goal,9,0.14285714285714285,1.0,7.0
track:distractor_goal,task:shelter_restock_scope,9,0.14285714285714285,1.0,7.0
elapsed:1-1.5m | task:grant_closeout_recovery,track:recovery,8,0.12698412698412698,1.0,7.0
elapsed:1-1.5m | track:recovery,task:grant_closeout_recovery,8,0.12698412698412698,1.0,7.0
task:grant_closeout_recovery,elapsed:1-1.5m | track:recovery,8,0.12698412698412698,0.8888888888888888,7.0
track:recovery,elapsed:1-1.5m | task:grant_closeout_recovery,8,0.12698412698412698,0.8888888888888888,7.0
elapsed:1-1.5m | harness:bdi,tool_calls:3-5,7,0.1111111111111111,0.875,6.890625
tool_calls:3-5,elapsed:1-1.5m | harness:bdi,7,0.1111111111111111,0.875,6.890625
tool_calls:3-5,cache_tokens:available | token_total:10k-25k,7,0.1111111111111111,0.875,6.125
tool_calls:3-5,harness:bdi | token_total:10k-25k,7,0.1111111111111111,0.875,6.125
cache_tokens:available | token_total:10k-25k,tool_calls:3-5,7,0.1111111111111111,0.7777777777777778,6.125
harness:bdi | token_total:10k-25k,tool_calls:3-5,7,0.1111111111111111,0.7777777777777778,6.125
cache_tokens:available | token_total:25k-50k,tool_calls:>5,10,0.15873015873015872,0.8333333333333334,4.375
tool_calls:>5,cache_tokens:available | token_total:25k-50k,10,0.15873015873015872,0.8333333333333334,4.375
harness:bdi | token_total:25k-50k,tool_calls:>5,10,0.15873015873015872,0.8333333333333334,4.375
tool_calls:>5,harness:bdi | token_total:25k-50k,10,0.15873015873015872,0.8333333333333334,4.375
